工業廃水、薬品、ゴミなどによる水質汚染。核兵器の使用による地質汚染。有害物質の焼却による大気汚染を20年以内に8割減らす。

2396年　ウィングランド各国が全世界の国ごとの汚染度を調べた。(※1)
2300年　アトランタとグレートアトランティスがツリウム、インジウム、イリジウム、オゾニウムの放射性物質の除去を始めた。
2302年　アクアートヴォルケーノのCO濃度は他の地点より約2倍近くあり、その原因である炎産業はアクアートヴォルケーノの中心的産業のため、対策を考え始める。
2305年　ショルテアースが超・浄水場を考案、実用化に向けたテストを行う。
2308年　アース人国家が次々と原子力発電所を廃止。大漢民国が電気と水素のハイブリッド車を開発。電水自動車と呼ばれる
2309年　オーシスが水素発電所を開発。実用化する。超・浄水場が実用化。大漢民国に設置される。
2310年　マンシスが電力供給を水力発電中心とする。ハリシスが蒸気圧発電所(※2)を設置
2311年　大漢民国が本格的に環境保全活動に力を注ぐ。
2312年　アクアートヴォルケーノがCO産業(※3)を始める。
2313年　イリジウム周辺国の除去作業をセントラルランド共和国とアース立憲民主国がサポート。
2314年　世界の自動車の約半分が電水自動車になる。
2317年　イリジウム周辺国の放射性物質を約8割取り除き、除去作業終了。
2319年　イリウスが自国の放射性物質を約半分処理した。

※1 地質・大気・水質より判断
※2 蒸気圧の力を利用して発電する発電所
※3 COを使ってお金を稼ぐ産業。第二次産業に当てはまる。
